               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.046145,            0.014522,           0.0031715,             0.49977,             0.40541,             0.36018,             0.15635,            0.050759,            0.015828,           0.0086529,           0.0056688,           0.0056688,           0.0056688
                  37,            0.045785,            0.013924,           0.0034136,             0.42615,             0.34637,             0.32384,             0.13658,            0.051274,            0.016178,            0.011793,            0.005545,            0.005545,            0.005545
                  38,            0.045715,             0.01428,           0.0033826,             0.47405,               0.386,             0.34106,             0.14848,            0.050806,            0.016241,            0.010267,           0.0054212,           0.0054212,           0.0054212
                  39,            0.044966,            0.014287,           0.0029196,             0.51669,             0.39191,             0.37357,             0.15334,            0.051556,            0.016285,           0.0097085,           0.0052975,           0.0052975,           0.0052975
                  40,             0.04448,            0.014275,           0.0028311,             0.42482,             0.42179,             0.34835,             0.15355,            0.050415,            0.016433,           0.0087436,           0.0051737,           0.0051737,           0.0051737
                  41,            0.044753,            0.013763,           0.0031392,             0.43694,             0.35489,             0.32651,             0.13656,            0.050297,            0.016561,           0.0099015,             0.00505,             0.00505,             0.00505
                  42,            0.043855,            0.013812,           0.0029681,             0.40456,             0.38739,             0.32086,             0.14309,            0.050645,            0.016696,            0.011521,           0.0049263,           0.0049263,           0.0049263
                  43,            0.043563,            0.013749,            0.002653,              0.5196,             0.43046,              0.3672,             0.14683,            0.050652,            0.016365,            0.012415,           0.0048025,           0.0048025,           0.0048025
                  44,            0.043191,            0.013553,           0.0027077,             0.44707,             0.39511,             0.34284,             0.14723,            0.049613,            0.016324,            0.011162,           0.0046788,           0.0046788,           0.0046788
                  45,            0.042853,            0.013608,             0.00259,             0.45983,             0.38757,             0.33505,              0.1448,            0.050723,            0.016497,            0.011807,            0.004555,            0.004555,            0.004555
                  46,            0.042113,            0.013207,            0.002466,             0.47963,             0.42699,             0.37224,             0.15213,            0.049885,             0.01643,           0.0097874,           0.0044313,           0.0044313,           0.0044313
                  47,            0.041685,            0.013553,           0.0024594,               0.437,             0.38116,              0.3229,             0.14128,             0.05038,              0.0171,            0.012163,           0.0043075,           0.0043075,           0.0043075
                  48,            0.041144,            0.013493,           0.0022664,             0.40881,             0.40992,             0.33482,             0.15197,            0.050256,            0.016756,            0.011166,           0.0041837,           0.0041837,           0.0041837
                  49,             0.04105,            0.012931,           0.0023152,             0.48048,             0.41369,             0.32646,              0.1423,            0.050773,            0.016827,            0.011098,             0.00406,             0.00406,             0.00406
                  50,              0.0407,             0.01289,           0.0024507,             0.42309,             0.40437,             0.34154,             0.15965,            0.051066,            0.016885,            0.011868,           0.0039362,           0.0039362,           0.0039362
                  51,            0.040262,            0.012438,           0.0021276,             0.41568,             0.39892,             0.34696,             0.15706,            0.049086,            0.016916,            0.012667,           0.0038125,           0.0038125,           0.0038125
                  52,            0.039951,            0.012746,            0.002324,             0.45087,             0.38275,             0.35246,             0.15778,            0.050514,            0.017074,            0.012472,           0.0036888,           0.0036888,           0.0036888
                  53,             0.03924,            0.012262,           0.0020362,             0.42243,             0.39976,             0.33293,             0.14771,             0.05099,            0.017072,            0.011803,            0.003565,            0.003565,            0.003565
                  54,            0.038575,            0.012238,           0.0018493,             0.45302,             0.40449,              0.3624,             0.16269,            0.050774,            0.016985,             0.01115,           0.0034413,           0.0034413,           0.0034413
                  55,              0.0385,            0.012106,           0.0018947,             0.52839,             0.41962,             0.38482,             0.16262,            0.050515,            0.017266,            0.010418,           0.0033175,           0.0033175,           0.0033175
                  56,            0.038233,            0.012274,           0.0018282,             0.50705,             0.40434,             0.37171,             0.16409,            0.049988,            0.017091,            0.012854,           0.0031938,           0.0031938,           0.0031938
                  57,            0.037781,            0.012395,           0.0017869,             0.46426,             0.40539,             0.34764,             0.15652,            0.051016,            0.017137,            0.012772,             0.00307,             0.00307,             0.00307
                  58,            0.036966,            0.011981,           0.0015832,             0.49163,             0.41475,             0.36791,             0.16928,            0.050384,            0.017314,            0.013291,           0.0029462,           0.0029462,           0.0029462
                  59,            0.036673,            0.011653,           0.0015107,             0.52193,             0.38868,             0.36999,             0.16645,            0.050729,            0.017426,            0.012625,           0.0028225,           0.0028225,           0.0028225
                  60,            0.036435,            0.011762,           0.0015769,             0.49788,             0.36274,             0.34505,             0.15579,             0.05012,            0.017686,            0.011535,           0.0026987,           0.0026987,           0.0026987
                  61,            0.036255,             0.01164,           0.0016455,             0.51839,             0.40673,             0.35547,             0.15004,            0.051313,            0.017655,           0.0097835,            0.002575,            0.002575,            0.002575
                  62,             0.03569,            0.011468,           0.0016935,             0.44645,             0.40503,             0.34651,             0.15619,            0.050806,            0.017767,            0.012754,           0.0024513,           0.0024513,           0.0024513
                  63,            0.034918,             0.01131,           0.0013573,             0.47221,             0.39011,             0.32735,             0.15157,            0.049982,            0.018051,            0.012105,           0.0023275,           0.0023275,           0.0023275
                  64,            0.034909,            0.011201,           0.0014196,             0.47956,             0.38741,             0.33254,             0.15182,            0.051025,            0.018261,            0.012277,           0.0022038,           0.0022038,           0.0022038
                  65,            0.034184,            0.010643,           0.0013534,             0.48227,             0.38252,             0.34715,             0.15806,            0.050501,            0.018502,            0.012648,             0.00208,             0.00208,             0.00208
                  66,            0.033691,            0.010626,           0.0013196,             0.47687,             0.40467,             0.34144,             0.15475,            0.051449,             0.01865,             0.01257,           0.0019563,           0.0019563,           0.0019563
                  67,            0.033435,            0.010585,           0.0013571,             0.46834,             0.39964,             0.36184,             0.16179,             0.05077,            0.018594,            0.010724,           0.0018325,           0.0018325,           0.0018325
                  68,            0.032771,            0.010407,            0.001124,             0.51727,             0.36312,             0.34256,             0.16505,            0.051079,            0.018447,            0.013899,           0.0017087,           0.0017087,           0.0017087
                  69,            0.032628,            0.010352,           0.0013737,             0.53258,             0.37395,             0.34933,             0.16067,            0.050805,            0.018427,            0.013841,            0.001585,            0.001585,            0.001585
